Geno,family,female_parent,male_parent
G_23,jardin,G_Ruby,G_Centennial
G_5.1.111,406,G_23,G_Crimson
G_5.1.123,406,G_23,G_Crimson
G_5.1.125,406,G_23,G_Crimson
G_5.1.126,406,G_23,G_Crimson
G_5.1.129,406,G_23,G_Crimson
G_5.1.130,406,G_23,G_Crimson
G_5.1.133,406,G_23,G_Crimson
G_5.1.135,406,G_23,G_Crimson
G_5.1.137,406,G_23,G_Crimson
G_5.1.138,406,G_23,G_Crimson
G_5.1.140,406,G_23,G_Crimson
G_5.1.142,406,G_23,G_Crimson
G_5.1.145,406,G_23,G_Crimson
G_5.1.148,406,G_23,G_Crimson
G_5.1.149,411,G_23,G_Crimson
G_5.1.151,406,G_23,G_Crimson
G_5.1.152,406,G_23,G_Crimson
G_5.1.153,406,G_23,G_Crimson
G_5.1.155,406,G_23,G_Crimson
G_5.1.156,406,G_23,G_Crimson
G_5.1.160,406,G_23,G_Crimson
G_5.1.161,406,G_23,G_Crimson
G_5.1.162,406,G_23,G_Crimson
G_5.1.165,406,G_23,G_Crimson
G_5.1.167,self,G_23,G_Iniagrape.one
G_5.1.169,self,G_23,G_Iniagrape.one
G_5.1.172,411,G_23,G_Iniagrape.one
G_5.1.173,411,G_23,G_Iniagrape.one
G_5.1.63,self,G_23,G_Crimson
G_5.1.64,406,G_23,G_Crimson
G_5.1.75,self,G_23,G_Crimson
G_5.1.78,406,G_23,G_Crimson
G_5.1.81,406,G_23,G_Crimson
G_5.1.83,406,G_23,G_Crimson
G_5.1.84,406,G_23,G_Crimson
G_5.1.90,406,G_23,G_Crimson
G_5.1.93,406,G_23,G_Crimson
G_5.10.103,929,G_Italia,G_Seleccion.5
G_5.10.104,929,G_Italia,G_Seleccion.5
G_5.10.106,929,G_Italia,G_Seleccion.5
G_5.10.107,929,G_Italia,G_Seleccion.5
G_5.10.108,929,G_Italia,G_Seleccion.5
G_5.10.130,929,G_Italia,G_Seleccion.5
G_5.10.136,929,G_Italia,G_Seleccion.5
G_5.10.138,jardin,G_Italia,G_Seleccion.5
G_5.10.141,929,G_Italia,G_Seleccion.5
G_5.10.145,929,G_Italia,G_Seleccion.5
G_5.10.152,jardin,G_Italia,G_Seleccion.5
G_5.10.156,929,G_Italia,G_Seleccion.5
G_5.10.158,929,G_Italia,G_Seleccion.5
G_5.10.161,929,G_Italia,G_Seleccion.5
G_5.10.168,929,G_Italia,G_Seleccion.5
G_5.10.173,929,G_Italia,G_Seleccion.5
G_5.10.177,929,G_Italia,G_Seleccion.5
G_5.10.18,902,G_Italia,G_Seleccion.5
G_5.10.66,jardin,G_Italia,G_Seleccion.5
G_5.10.69,929,G_Italia,G_Seleccion.5
G_5.10.71,929,G_Italia,G_Seleccion.5
G_5.10.73,929,G_Italia,G_Seleccion.5
G_5.10.74,jardin,G_Italia,G_Seleccion.5
G_5.10.79,929,G_Italia,G_Seleccion.5
G_5.10.82,929,G_Italia,G_Seleccion.5
G_5.10.84,929,G_Italia,G_Seleccion.5
G_5.10.86,929,G_Italia,G_Seleccion.5
G_5.10.88,929,G_Italia,G_Seleccion.5
G_5.10.89,929,G_Italia,G_Seleccion.5
G_5.10.91,929,G_Italia,G_Seleccion.5
G_5.10.92,929,G_Italia,G_Seleccion.5
G_5.10.93,929,G_Italia,G_Seleccion.5
G_5.10.96,929,G_Italia,G_Seleccion.5
G_5.10.98,929,G_Italia,G_Seleccion.5
G_5.10.99,929,G_Italia,G_Seleccion.5
G_5.2.1,900,G_23,G_3V
G_5.2.10,900,G_23,G_3V
G_5.2.106,411,G_23,G_Iniagrape.one
G_5.2.110,self,G_23,G_Iniagrape.one
G_5.2.112,self,G_23,G_Iniagrape.one
G_5.2.115,self,G_23,G_Iniagrape.one
G_5.2.117,411,G_23,G_Iniagrape.one
G_5.2.120,411,G_23,G_Iniagrape.one
G_5.2.122,411,G_23,G_Iniagrape.one
G_5.2.124,self,G_23,G_Iniagrape.one
G_5.2.125,411,G_23,G_Iniagrape.one
G_5.2.13,900,G_23,G_3V
G_5.2.131,411,G_23,G_Iniagrape.one
G_5.2.132,411,G_23,G_Iniagrape.one
G_5.2.134,411,G_23,G_Iniagrape.one
G_5.2.137,self,G_23,G_Iniagrape.one
G_5.2.138,self,G_23,G_Iniagrape.one
G_5.2.139,406,G_23,G_Iniagrape.one
G_5.2.147,411,G_23,G_Iniagrape.one
G_5.2.148,self,G_23,G_Iniagrape.one
G_5.2.15,900,G_23,G_3V
G_5.2.150,411,G_23,G_Iniagrape.one
G_5.2.154,411,G_23,G_Iniagrape.one
G_5.2.156,411,G_23,G_Iniagrape.one
G_5.2.16,900,G_23,G_3V
G_5.2.160,411,G_23,G_Iniagrape.one
G_5.2.163,411,G_23,G_Iniagrape.one
G_5.2.165,411,G_23,G_Iniagrape.one
G_5.2.166,self,G_23,G_Iniagrape.one
G_5.2.169,411,G_23,G_Iniagrape.one
G_5.2.17,self,G_23,G_3V
G_5.2.18,900,G_23,G_3V
G_5.2.2,900,G_23,G_3V
G_5.2.3,900,G_23,G_3V
G_5.2.4,900,G_23,G_3V
G_5.2.5,900,G_23,G_3V
G_5.2.7,self,G_23,G_3V
G_5.2.72,902,G_Flame,G_18V
G_5.2.73,902,G_Flame,G_18V
G_5.2.76,902,G_Flame,G_18V
G_5.2.77,902,G_Flame,G_18V
G_5.2.78,902,G_Flame,G_18V
G_5.2.8,900,G_23,G_3V
G_5.2.82,902,G_Flame,G_18V
G_5.2.9,900,G_23,G_3V
G_5.3.1,900,G_23,G_3V
G_5.3.100,912,G_23,G_5LL
G_5.3.101,912,G_23,G_5LL
G_5.3.102,912,G_23,G_5LL
G_5.3.106,912,G_23,G_5LL
G_5.3.11,900,G_23,G_3V
G_5.3.110,912,G_23,G_5LL
G_5.3.111,912,G_23,G_5LL
G_5.3.113,912,G_23,G_5LL
G_5.3.114,912,G_23,G_5LL
G_5.3.118,912,G_23,G_5LL
G_5.3.12,900,G_23,G_3V
G_5.3.120,912,G_23,G_5LL
G_5.3.121,self,G_23,G_5LL
G_5.3.122,912,G_23,G_5LL
G_5.3.123,self,G_23,G_5LL
G_5.3.125,912,G_23,G_5LL
G_5.3.13,900,G_23,G_3V
G_5.3.14,900,G_23,G_3V
G_5.3.15,900,G_23,G_3V
G_5.3.164,111,G_Flame,G_Crimson
G_5.3.165,111,G_Flame,G_Crimson
G_5.3.168,111,G_Flame,G_Crimson
G_5.3.17,900,G_23,G_3V
G_5.3.171,902,G_Flame,G_Crimson
G_5.3.18,900,G_23,G_3V
G_5.3.19,900,G_23,G_3V
G_5.3.21,900,G_23,G_3V
G_5.3.24,self,G_23,G_3V
G_5.3.25,self,G_23,G_3V
G_5.3.26,900,G_23,G_3V
G_5.3.28,self,G_23,G_3V
G_5.3.3,900,G_23,G_3V
G_5.3.31,900,G_23,G_3V
G_5.3.32,self,G_23,G_3V
G_5.3.35,900,G_23,G_3V
G_5.3.37,912,G_23,G_3V
G_5.3.40,912,G_23,G_5LL
G_5.3.47,912,G_23,G_5LL
G_5.3.49,912,G_23,G_5LL
G_5.3.5,900,G_23,G_3V
G_5.3.50,912,G_23,G_5LL
G_5.3.52,912,G_23,G_5LL
G_5.3.56,912,G_23,G_5LL
G_5.3.59,912,G_23,G_5LL
G_5.3.6,self,G_23,G_3V
G_5.3.60,912,G_23,G_5LL
G_5.3.61,912,G_23,G_5LL
G_5.3.67,912,G_23,G_5LL
G_5.3.68,912,G_23,G_5LL
G_5.3.7,900,G_23,G_3V
G_5.3.70,912,G_23,G_5LL
G_5.3.72,self,G_23,G_5LL
G_5.3.75,912,G_23,G_5LL
G_5.3.78,912,G_23,G_5LL
G_5.3.79,912,G_23,G_5LL
G_5.3.8,900,G_23,G_3V
G_5.3.82,912,G_23,G_5LL
G_5.3.9,900,G_23,G_3V
G_5.3.90,912,G_23,G_5LL
G_5.3.91,912,G_23,G_5LL
G_5.3.92,912,G_23,G_5LL
G_5.3.96,912,G_23,G_5LL
G_5.4.10,411,G_23,G_Iniagrape.one
G_5.4.103,406,G_23,G_Crimson
G_5.4.104,406,G_23,G_Crimson
G_5.4.105,406,G_23,G_Crimson
G_5.4.106,406,G_23,G_Crimson
G_5.4.11,self,G_23,G_Iniagrape.one
G_5.4.110,406,G_23,G_Crimson
G_5.4.111,406,G_23,G_Crimson
G_5.4.112,406,G_23,G_Crimson
G_5.4.113,406,G_23,G_Crimson
G_5.4.114,406,G_23,G_Crimson
G_5.4.115,406,G_23,G_Crimson
G_5.4.116,406,G_23,G_Crimson
G_5.4.117,406,G_23,G_Crimson
G_5.4.118,406,G_23,G_Crimson
G_5.4.119,406,G_23,G_Crimson
G_5.4.12,411,G_23,G_Iniagrape.one
G_5.4.120,406,G_23,G_Crimson
G_5.4.122,406,G_23,G_Crimson
G_5.4.124,406,G_23,G_Crimson
G_5.4.125,406,G_23,G_Crimson
G_5.4.129,406,G_23,G_Crimson
G_5.4.130,406,G_23,G_Crimson
G_5.4.135,111,G_Flame,G_Crimson
G_5.4.138,111,G_Flame,G_Crimson
G_5.4.14,411,G_23,G_Iniagrape.one
G_5.4.142,111,G_Flame,G_Crimson
G_5.4.143,111,G_Flame,G_Crimson
G_5.4.144,111,G_Flame,G_Crimson
G_5.4.146,111,G_Flame,G_Crimson
G_5.4.148,111,G_Flame,G_Crimson
G_5.4.15,411,G_23,G_Iniagrape.one
G_5.4.151,111,G_Flame,G_Crimson
G_5.4.154,111,G_Flame,G_Crimson
G_5.4.156,111,G_Flame,G_Crimson
G_5.4.157,111,G_Flame,G_Crimson
G_5.4.158,111,G_Flame,G_Crimson
G_5.4.16,411,G_23,G_Iniagrape.one
G_5.4.163,111,G_Flame,G_Crimson
G_5.4.164,111,G_Flame,G_Crimson
G_5.4.165,111,G_Flame,G_Crimson
G_5.4.169,111,G_Flame,G_Crimson
G_5.4.17,411,G_23,G_Iniagrape.one
G_5.4.170,111,G_Flame,G_Crimson
G_5.4.174,111,G_Flame,G_Crimson
G_5.4.18,411,G_23,G_Iniagrape.one
G_5.4.2,411,G_23,G_Iniagrape.one
G_5.4.21,self,G_23,G_Iniagrape.one
G_5.4.25,411,G_23,G_Iniagrape.one
G_5.4.27,self,G_23,G_Iniagrape.one
G_5.4.3,411,G_23,G_Iniagrape.one
G_5.4.34,406,G_23,G_Crimson
G_5.4.35,406,G_23,G_Crimson
G_5.4.36,self,G_23,G_Crimson
G_5.4.41,406,G_23,G_Crimson
G_5.4.42,406,G_23,G_Crimson
G_5.4.44,406,G_23,G_Crimson
G_5.4.45,406,G_23,G_Crimson
G_5.4.49,406,G_23,G_Crimson
G_5.4.5,self,G_23,G_Iniagrape.one
G_5.4.50,406,G_23,G_Crimson
G_5.4.51,406,G_23,G_Crimson
G_5.4.54,406,G_23,G_Crimson
G_5.4.55,406,G_23,G_Crimson
G_5.4.56,406,G_23,G_Crimson
G_5.4.60,406,G_23,G_Crimson
G_5.4.63,406,G_23,G_Crimson
G_5.4.64,self,G_23,G_Crimson
G_5.4.66,406,G_23,G_Crimson
G_5.4.67,406,G_23,G_Crimson
G_5.4.68,406,G_23,G_Crimson
G_5.4.69,406,G_23,G_Crimson
G_5.4.7,411,G_23,G_Iniagrape.one
G_5.4.70,406,G_23,G_Crimson
G_5.4.71,406,G_23,G_Crimson
G_5.4.72,406,G_23,G_Crimson
G_5.4.73,406,G_23,G_Crimson
G_5.4.75,406,G_23,G_Crimson
G_5.4.78,406,G_23,G_Crimson
G_5.4.8,411,G_23,G_Iniagrape.one
G_5.4.80,406,G_23,G_Crimson
G_5.4.82,406,G_23,G_Crimson
G_5.4.83,406,G_23,G_Crimson
G_5.4.85,406,G_23,G_Crimson
G_5.4.86,self,G_23,G_Crimson
G_5.4.94,406,G_23,G_Crimson
G_5.4.97,406,G_23,G_Crimson
G_5.4.98,406,G_23,G_Crimson
G_5.5.100,111,G_Flame,G_Crimson
G_5.5.101,111,G_Flame,G_Crimson
G_5.5.104,111,G_Flame,G_Crimson
G_5.5.105,111,G_Flame,G_Crimson
G_5.5.107,111,G_Flame,G_Crimson
G_5.5.109,111,G_Flame,G_Crimson
G_5.5.116,406,G_23,G_Crimson
G_5.5.119,406,G_23,G_Crimson
G_5.5.123,406,G_23,G_Crimson
G_5.5.131,406,G_23,G_Crimson
G_5.5.138,406,G_23,G_Crimson
G_5.5.139,406,G_23,G_Crimson
G_5.5.142,406,G_23,G_Crimson
G_5.5.145,406,G_23,G_Crimson
G_5.5.149,406,G_23,G_Crimson
G_5.5.151,406,G_23,G_Crimson
G_5.5.152,406,G_23,G_Crimson
G_5.5.156,406,G_23,G_Crimson
G_5.5.160,900,G_23,G_Crimson
G_5.5.162,406,G_23,G_Crimson
G_5.5.165,406,G_23,G_Crimson
G_5.5.17,111,G_Flame,G_Crimson
G_5.5.46,111,G_Flame,G_Crimson
G_5.5.48,111,G_Flame,G_Crimson
G_5.5.50,111,G_Flame,G_Crimson
G_5.5.53,111,G_Flame,G_Crimson
G_5.5.55,111,G_Flame,G_Crimson
G_5.5.56,111,G_Flame,G_Crimson
G_5.5.57,111,G_Flame,G_Crimson
G_5.5.58,111,G_Flame,G_Crimson
G_5.5.59,111,G_Flame,G_Crimson
G_5.5.62,111,G_Flame,G_Crimson
G_5.5.66,111,G_Flame,G_Crimson
G_5.5.67,111,G_Flame,G_Crimson
G_5.5.68,111,G_Flame,G_Crimson
G_5.5.70,111,G_Flame,G_Crimson
G_5.5.71,111,G_Flame,G_Crimson
G_5.5.72,111,G_Flame,G_Crimson
G_5.5.84,111,G_Flame,G_Crimson
G_5.5.85,111,G_Flame,G_Crimson
G_5.5.86,111,G_Flame,G_Crimson
G_5.5.90,111,G_Flame,G_Crimson
G_5.5.91,111,G_Flame,G_Crimson
G_5.5.92,111,G_Flame,G_Crimson
G_5.5.93,111,G_Flame,G_Crimson
G_5.5.94,111,G_Flame,G_Crimson
G_5.5.95,111,G_Flame,G_Crimson
G_5.5.96,111,G_Flame,G_Crimson
G_5.5.98,111,G_Flame,G_Crimson
G_5.5.99,111,G_Flame,G_Crimson
G_5.6.100,411,G_23,G_Iniagrape.one
G_5.6.103,411,G_23,G_Iniagrape.one
G_5.6.105,411,G_23,G_Iniagrape.one
G_5.6.107,411,G_23,G_Iniagrape.one
G_5.6.108,self,G_23,G_Iniagrape.one
G_5.6.11,902,G_Flame,G_18V
G_5.6.110,411,G_23,G_Iniagrape.one
G_5.6.112,self,G_23,G_Iniagrape.one
G_5.6.115,self,G_23,G_Iniagrape.one
G_5.6.116,411,G_23,G_Iniagrape.one
G_5.6.118,self,G_23,G_Iniagrape.one
G_5.6.119,411,G_23,G_Iniagrape.one
G_5.6.120,self,G_23,G_Iniagrape.one
G_5.6.122,111,G_23,G_Iniagrape.one
G_5.6.124,411,G_23,G_Iniagrape.one
G_5.6.125,self,G_23,G_Iniagrape.one
G_5.6.126,self,G_23,G_Iniagrape.one
G_5.6.127,self,G_23,G_Iniagrape.one
G_5.6.129,self,G_23,G_Iniagrape.one
G_5.6.13,902,G_Flame,G_18V
G_5.6.130,self,G_23,G_Iniagrape.one
G_5.6.131,self,G_23,G_Iniagrape.one
G_5.6.135,411,G_23,G_Iniagrape.one
G_5.6.138,411,G_23,G_Iniagrape.one
G_5.6.140,411,G_23,G_Iniagrape.one
G_5.6.142,411,G_23,G_Iniagrape.one
G_5.6.144,411,G_23,G_Iniagrape.one
G_5.6.145,411,G_23,G_Iniagrape.one
G_5.6.146,self,G_23,G_Iniagrape.one
G_5.6.150,411,G_23,G_Iniagrape.one
G_5.6.151,411,G_23,G_Iniagrape.one
G_5.6.155,self,G_23,G_Iniagrape.one
G_5.6.156,self,G_23,G_Iniagrape.one
G_5.6.157,411,G_23,G_Iniagrape.one
G_5.6.158,411,G_23,G_Iniagrape.one
G_5.6.162,411,G_23,G_Iniagrape.one
G_5.6.163,411,G_23,G_Iniagrape.one
G_5.6.164,self,G_23,G_Iniagrape.one
G_5.6.165,411,G_23,G_Iniagrape.one
G_5.6.166,411,G_23,G_Iniagrape.one
G_5.6.168,411,G_23,G_Iniagrape.one
G_5.6.169,self,G_23,G_Iniagrape.one
G_5.6.171,self,G_23,G_Iniagrape.one
G_5.6.19,902,G_Flame,G_18V
G_5.6.20,902,G_Flame,G_18V
G_5.6.25,902,G_Flame,G_18V
G_5.6.30,902,G_Flame,G_18V
G_5.6.31,902,G_Flame,G_18V
G_5.6.33,902,G_Flame,G_18V
G_5.6.34,902,G_Flame,G_18V
G_5.6.35,902,G_Flame,G_18V
G_5.6.36,902,G_Flame,G_18V
G_5.6.39,902,G_Flame,G_18V
G_5.6.43,902,G_Flame,G_18V
G_5.6.45,902,G_Flame,G_18V
G_5.6.55,902,G_Flame,G_18V
G_5.6.58,902,G_Flame,G_18V
G_5.6.60,902,G_Flame,G_18V
G_5.6.65,902,G_Flame,G_18V
G_5.6.70,902,G_Flame,G_18V
G_5.6.71,902,G_Flame,G_18V
G_5.6.72,902,G_Flame,G_18V
G_5.6.74,902,G_Flame,G_18V
G_5.6.75,111,G_Flame,G_18V
G_5.7.102,111,G_Flame,G_Crimson
G_5.7.103,111,G_Flame,G_Crimson
G_5.7.107,902,G_Flame,G_Crimson
G_5.7.108,111,G_Flame,G_Crimson
G_5.7.111,111,G_Flame,G_Crimson
G_5.7.113,111,G_Flame,G_Crimson
G_5.7.114,111,G_Flame,G_Crimson
G_5.7.115,111,G_Flame,G_Crimson
G_5.7.119,111,G_Flame,G_Crimson
G_5.7.121,111,G_Flame,G_Crimson
G_5.7.122,111,G_Flame,G_Crimson
G_5.7.123,111,G_Flame,G_Crimson
G_5.7.124,902,G_Flame,G_Crimson
G_5.7.128,406,G_23,G_Crimson
G_5.7.133,406,G_23,G_Crimson
G_5.7.139,406,G_23,G_Crimson
G_5.7.140,902,G_23,G_Crimson
G_5.7.141,902,G_23,G_Crimson
G_5.7.142,902,G_23,G_Crimson
G_5.7.146,902,G_23,G_Crimson
G_5.7.149,406,G_23,G_Crimson
G_5.7.153,406,G_23,G_Crimson
G_5.7.157,900,G_23,G_Crimson
G_5.7.158,406,G_23,G_Crimson
G_5.7.160,406,G_23,G_Crimson
G_5.7.164,406,G_23,G_Crimson
G_5.7.165,406,G_23,G_Crimson
G_5.7.167,406,G_23,G_Crimson
G_5.7.169,406,G_23,G_Crimson
G_5.7.170,406,G_23,G_Crimson
G_5.7.179,406,G_23,G_Crimson
G_5.7.26,111,G_Flame,G_Crimson
G_5.7.28,111,G_Flame,G_Crimson
G_5.7.31,902,G_Flame,G_Crimson
G_5.7.32,111,G_Flame,G_Crimson
G_5.7.38,111,G_Flame,G_Crimson
G_5.7.43,111,G_Flame,G_Crimson
G_5.7.46,111,G_Flame,G_Crimson
G_5.7.47,111,G_Flame,G_Crimson
G_5.7.51,111,G_Flame,G_Crimson
G_5.7.52,111,G_Flame,G_Crimson
G_5.7.57,111,G_Flame,G_Crimson
G_5.7.59,111,G_Flame,G_Crimson
G_5.7.60,111,G_Flame,G_Crimson
G_5.7.61,111,G_Flame,G_Crimson
G_5.7.64,111,G_Flame,G_Crimson
G_5.7.70,111,G_Flame,G_Crimson
G_5.7.71,111,G_Flame,G_Crimson
G_5.7.73,111,G_Flame,G_Crimson
G_5.7.75,111,G_Flame,G_Crimson
G_5.7.76,111,G_Flame,G_Crimson
G_5.7.77,111,G_Flame,G_Crimson
G_5.7.78,111,G_Flame,G_Crimson
G_5.7.83,111,G_Flame,G_Crimson
G_5.7.86,111,G_Flame,G_Crimson
G_5.7.90,111,G_Flame,G_Crimson
G_5.7.93,111,G_Flame,G_Crimson
G_5.7.97,111,G_Flame,G_Crimson
G_5.7.98,111,G_Flame,G_Crimson
G_5.8.100,411,G_23,G_Iniagrape.one
G_5.8.102,411,G_23,G_Iniagrape.one
G_5.8.103,self,G_23,G_Iniagrape.one
G_5.8.104,self,G_23,G_Iniagrape.one
G_5.8.107,411,G_23,G_Iniagrape.one
G_5.8.111,self,G_23,G_Iniagrape.one
G_5.8.113,411,G_23,G_Iniagrape.one
G_5.8.114,self,G_23,G_Iniagrape.one
G_5.8.116,406,G_23,G_Iniagrape.one
G_5.8.117,411,G_23,G_Iniagrape.one
G_5.8.118,411,G_23,G_Iniagrape.one
G_5.8.119,411,G_23,G_Iniagrape.one
G_5.8.123,self,G_23,G_Iniagrape.one
G_5.8.126,411,G_23,G_Iniagrape.one
G_5.8.127,411,G_23,G_Iniagrape.one
G_5.8.131,411,G_23,G_Iniagrape.one
G_5.8.133,411,G_23,G_Iniagrape.one
G_5.8.135,411,G_23,G_Iniagrape.one
G_5.8.137,411,G_23,G_Iniagrape.one
G_5.8.141,411,G_23,G_Iniagrape.one
G_5.8.145,406,G_23,G_Iniagrape.one
G_5.8.147,406,G_23,G_Iniagrape.one
G_5.8.148,406,G_23,G_Iniagrape.one
G_5.8.149,411,G_23,G_Iniagrape.one
G_5.8.150,self,G_23,G_Iniagrape.one
G_5.8.151,self,G_23,G_Iniagrape.one
G_5.8.155,406,G_23,G_Crimson
G_5.8.158,406,G_23,G_Crimson
G_5.8.51,self,G_23,G_Iniagrape.one
G_5.8.58,self,G_23,G_Iniagrape.one
G_5.8.63,self,G_23,G_Iniagrape.one
G_5.8.65,411,G_23,G_Iniagrape.one
G_5.8.69,411,G_23,G_Iniagrape.one
G_5.8.71,411,G_23,G_Iniagrape.one
G_5.8.72,411,G_23,G_Iniagrape.one
G_5.8.80,411,G_23,G_Iniagrape.one
G_5.8.82,406,G_23,G_Iniagrape.one
G_5.8.83,self,G_23,G_Iniagrape.one
G_5.8.84,411,G_23,G_Iniagrape.one
G_5.8.85,411,G_23,G_Iniagrape.one
G_5.8.87,411,G_23,G_Iniagrape.one
G_5.8.89,411,G_23,G_Iniagrape.one
G_5.8.92,411,G_23,G_Iniagrape.one
G_5.8.96,411,G_23,G_Iniagrape.one
G_5.9.104,406,G_23,G_3V
G_5.9.106,900,G_23,G_3V
G_5.9.109,900,G_23,G_3V
G_5.9.11,902,G_Flame,G_18V
G_5.9.112,self,G_23,G_3V
G_5.9.114,900,G_23,G_3V
G_5.9.115,900,G_23,G_3V
G_5.9.117,900,G_23,G_3V
G_5.9.118,900,G_23,G_3V
G_5.9.119,900,G_23,G_3V
G_5.9.12,902,G_Flame,G_18V
G_5.9.120,900,G_23,G_3V
G_5.9.121,900,G_23,G_3V
G_5.9.122,900,G_23,G_3V
G_5.9.123,900,G_23,G_3V
G_5.9.124,900,G_23,G_3V
G_5.9.125,900,G_23,G_3V
G_5.9.127,900,G_23,G_3V
G_5.9.128,900,G_23,G_3V
G_5.9.131,900,G_23,G_3V
G_5.9.133,111,G_23,G_3V
G_5.9.134,900,G_23,G_3V
G_5.9.139,900,G_23,G_3V
G_5.9.143,900,G_23,G_3V
G_5.9.144,900,G_23,G_3V
G_5.9.147,900,G_23,G_3V
G_5.9.149,900,G_23,G_3V
G_5.9.150,900,G_23,G_3V
G_5.9.151,912,G_23,G_5LL
G_5.9.153,912,G_23,G_5LL
G_5.9.156,912,G_23,G_5LL
G_5.9.160,912,G_23,G_5LL
G_5.9.161,912,G_23,G_5LL
G_5.9.162,912,G_23,G_5LL
G_5.9.163,912,G_23,G_5LL
G_5.9.164,912,G_23,G_5LL
G_5.9.4,902,G_Flame,G_18V
G_5.9.5,902,G_Flame,G_18V
G_5.9.9,411,G_Flame,G_18V
G_Agourane,jardin,NA,NA
G_Alburla,jardin,NA,NA
G_Arna.Guirna,jardin,NA,NA
G_Assyl.Kara,jardin,NA,NA
G_Autumn.Royal,jardin,NA,NA
G_Autumn.Seedless,jardin,NA,NA
G_Beauty,jardin,NA,NA
G_Black,jardin,NA,NA
G_Blush,jardin,NA,NA
G_Bogazkere,jardin,NA,NA
G_Calmeria,jardin,NA,NA
G_Canner,jardin,NA,NA
G_Centennial,jardin,NA,NA
G_Cesar,jardin,NA,NA
G_Chaselas.Musque,jardin,NA,NA
G_Chirai.Obak,jardin,NA,NA
G_Chouchillon,jardin,NA,NA
G_Crimson,jardin,NA,NA
G_Dawn,jardin,NA,NA
G_Delizia.di.Vaprio,jardin,NA,NA
G_Emperor,jardin,NA,NA
G_Espadeiro.Tinto,jardin,NA,NA
G_Exotic,jardin,NA,NA
G_Fue.Fuki,jardin,NA,NA
G_Gros.Colman,jardin,NA,NA
G_Ilusion,jardin,NA,NA
G_Iniagrape.one,jardin,G_Flame,G_Black
G_Italia,jardin,NA,NA
G_July.Muscat,jardin,NA,NA
G_K.Belyi,jardin,NA,NA
G_Kapistroni.tetri,jardin,NA,NA
G_Korithi,jardin,NA,NA
G_Kyoho,jardin,NA,NA
G_Lameiro,jardin,NA,NA
G_Magdalena,jardin,NA,NA
G_Mehdik,jardin,NA,NA
G_Melissa,jardin,NA,NA
G_Monukka,jardin,NA,NA
G_Moscatel.Oeiras.Faux,jardin,NA,NA
G_Moscatel.Rosada,jardin,NA,NA
G_Olivette,jardin,NA,NA
G_Orbois,jardin,NA,NA
G_Orlovi.Nokti,jardin,NA,NA
G_Patagonia,jardin,NA,NA
G_Pervenetz,jardin,NA,NA
G_Plant.de.Maroc,jardin,NA,NA
G_Pletchistik,jardin,NA,NA
G_Portugais.Bleu,jardin,NA,NA
G_Queen,jardin,NA,NA
G_Red.Globe,jardin,NA,NA
G_Retagliado.Bianco,jardin,NA,NA
G_Ribier,jardin,NA,NA
G_Ruby.Cabernet,jardin,NA,NA
G_San.Francisco,jardin,NA,NA
G_Seleccion.5,jardin,G_Red,G_Dawn
G_Sultanina.Monococo,jardin,NA,NA
G_Superior,jardin,NA,NA
G_Tandaya,jardin,NA,NA
G_Titsa.Kaprei,jardin,NA,NA
G_Tsolikouri,jardin,NA,NA
G_Varadi,jardin,NA,NA
G_Variete.d.oasis.bou.chemma,jardin,NA,NA
G_Voskeat,jardin,NA,NA
